电视公告,#genre#
🔥Q群下载,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8
🔥最新版本,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8
🔥304629590,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8
🔥新春快乐,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8
🔥温馨提醒,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8
🔥免费使用,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
🔥拒绝收费,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8
山西组播,#genre#
CCTV1,http://116.179.130.120:6000/rtp/226.0.2.153:9136
CCTV2,http://116.179.130.120:6000/rtp/226.0.2.154:9144
CCTV3,http://116.179.130.120:6000/rtp/226.0.2.208:9576
CCTV4,http://116.179.130.120:6000/rtp/226.0.2.156:9160
CCTV5,http://116.179.130.120:6000/rtp/226.0.2.209:9584
CCTV5+,http://116.179.130.120:6000/rtp/226.0.2.168:9256
CCTV6,http://116.179.130.120:6000/rtp/226.0.2.210:9592
CCTV7,http://116.179.130.120:6000/rtp/226.0.2.159:9184
CCTV8,http://116.179.130.120:6000/rtp/226.0.2.211:9600
CCTV9,http://116.179.130.120:6000/rtp/226.0.2.161:9200
CCTV10,http://116.179.130.120:6000/rtp/226.0.2.162:9208
CCTV12,http://116.179.130.120:6000/rtp/226.0.2.164:9224
CCTV13,http://116.179.130.120:6000/rtp/226.0.2.165:9232
CCTV14,http://116.179.130.120:6000/rtp/226.0.2.166:9240
CCTV16,http://116.179.130.120:6000/rtp/226.0.2.169:9264
CCTV17,http://116.179.130.120:6000/rtp/226.0.2.170:9272
CCTV1,http://116.179.130.120:6000/rtp/226.0.2.18:8056
CCTV2,http://116.179.130.120:6000/rtp/226.0.2.19:8064
CCTV3,http://116.179.130.120:6000/rtp/226.0.2.20:8072
CCTV4,http://116.179.130.120:6000/rtp/226.0.2.21:8080
CCTV5,http://116.179.130.120:6000/rtp/226.0.2.22:8088
CCTV6,http://116.179.130.120:6000/rtp/226.0.2.23:8096
CCTV7,http://116.179.130.120:6000/rtp/226.0.2.24:8104
CCTV8,http://116.179.130.120:6000/rtp/226.0.2.25:8112
CCTV9,http://116.179.130.120:6000/rtp/226.0.2.26:8120
CCTV10,http://116.179.130.120:6000/rtp/226.0.2.27:8128
CCTV11,http://116.179.130.120:6000/rtp/226.0.2.28:8136
CCTV12,http://116.179.130.120:6000/rtp/226.0.2.29:8144
CCTV13,http://116.179.130.120:6000/rtp/226.0.2.30:8152
CCTV14,http://116.179.130.120:6000/rtp/226.0.2.31:8160
CCTV15,http://116.179.130.120:6000/rtp/226.0.2.32:8168
CCTV17,http://116.179.130.120:6000/rtp/226.0.2.207:9568
CCTV央视台球,http://116.179.130.120:6000/rtp/226.0.2.216:9640
CCTV高网,http://116.179.130.120:6000/rtp/226.0.2.217:9648
CCTV电视指南,http://116.179.130.120:6000/rtp/226.0.2.218:9656
CCTV央视文化精品,http://116.179.130.120:6000/rtp/226.0.2.219:9664
